Raspberry Date/Time [];Raspberry Raspberry Temperature [°C];INA260 Secondary I Voltage [mV];INA260 Secondary I Voltage-Average [mV];INA260 Secondary I Current [mA];INA260 Primary Voltage [mV];INA260 Primary Voltage-Average [mV];INA260 Primary Current [mA];NEO6M GPS Longitude [];NEO6M GPS Latitude [];NEO6M GPS Altitude [meter];Temperature_Humidity Temperature [°C];Temperature_Humidity Humidity [%];secondary1 Power Status;secondary2 Power Status;secondary3 Power Status;secondary4 Power Status;
2022-03-09 09:42:57.808859;42.8;3802.5;3802.5;0.0;3611.25;3611.25;376.25;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:43:20.975763;43.3;3801.25;3801.88;1.25;3600.0;3605.62;398.75;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:43:44.295109;44.4;3802.5;3802.08;1.25;3602.5;3604.58;417.5;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:44:07.759040;44.4;3801.25;3801.88;2.5;3610.0;3605.94;367.5;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:44:30.984339;45.5;3802.5;3802.0;0.0;3611.25;3607.0;407.5;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:44:54.336382;45.5;3802.5;3802.0;-1.25;3608.75;3606.5;375.0;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:45:17.513843;45.5;3802.5;3802.25;0.0;3608.75;3608.25;361.25;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:45:40.738334;45.5;3803.75;3802.5;-1.25;3608.75;3609.5;371.25;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:46:03.913986;45.5;3803.75;3803.0;1.25;3603.75;3608.25;388.75;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:46:27.085660;43.3;3803.75;3803.25;0.0;3603.75;3606.75;378.75;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:46:50.215585;42.8;3796.25;3802.0;-1.25;3610.0;3607.0;376.25;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:48:32.941640;43.3;3805.0;3805.0;-1.25;3603.75;3603.75;405.0;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:48:56.119622;42.2;3806.25;3805.62;0.0;3611.25;3607.5;370.0;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:49:19.233365;43.3;3806.25;3805.83;0.0;3606.25;3607.08;386.25;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:49:42.467272;41.2;3800.0;3804.38;0.0;3620.0;3610.31;331.25;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:51:49.077775;43.9;3807.5;3807.5;0.0;3613.75;3613.75;337.5;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:52:12.288766;43.9;3807.5;3807.5;1.25;3608.75;3611.25;368.75;-;-;-;-999;-999;on;on;on;on;
2022-03-09 09:52:35.503856;44.4;3807.5;3807.5;0.0;3613.75;3612.08;335.0;-;-;-;-999;-999;on;on;on;on;
